,Link,Job Title,Company Name,Location,Salary,Date
63,https://pk.indeed.com/company/Source-Code/jobs/International-Sales-Rsp-fe491d8b19e8564e?fccid=9e201390ae8ab2ff&vjs=3,International Sales RSP (Night Shift),Source Code,Karachi,"Rs 80,000 a month",EmployerActive 2 days ago
64,https://pk.indeed.com/company/Aspire-Knight/jobs/Data-Entry-Executive-fc33e2f930f1d834?fccid=7df7f10385e67940&vjs=3,Data Entry Executive,Aspire Knight,Karachi,"Rs 15,000 - Rs 25,000 a month",PostedPosted 30+ days ago
65,https://pk.indeed.com/company/Stitch-Fit-Fashions/jobs/Customer-Service-Representative-Tailoring-Coordinator-c04bd7200b211e1e?fccid=eb26a88e60d7496f&vjs=3,CSR Tailoring Coordinator - Retailnew,A Moosajee Sons,Karachi,"Rs 35,000 - Rs 40,000 a month",EmployerActive 3 days ago
66,https://pk.indeed.com/company/OPTIMIZE-ENGINEERING-CORE-PVT.-LTD/jobs/Trainee-Enginer-a0262887b3bc2b8d?fccid=b645490e9819ef77&vjs=3,Trainee Enginer,OPTIMIZE ENGINEERING CORE PVT. LTD,Karachi,"Rs 25,000 a month",EmployerActive 9 days ago
67,https://pk.indeed.com/company/Healthx-Pakistan/jobs/Office-Receptionist-cacd78403b91ea70?fccid=9444c177f5786a93&vjs=3,Office Receptionist,Healthx Pakistan,Karachi,N/A,EmployerActive 1 day ago
68,https://pk.indeed.com/company/Smart-Placement/jobs/Data-Entry-Operator-23fe2b35636f7d82?fccid=8d2c4609b71b6afd&vjs=3,Data Entry Operator,Smart Placement (Pvt) Ltd,Karachi,"Rs 9,218 - Rs 34,678 a month",PostedPosted 30+ days ago
69,https://pk.indeed.com/company/Aykays/jobs/Data-Entry-c1fa77b6a3f3f08c?fccid=3b348a5cdb2faa85&vjs=3,Data Entry - Internship,Aykays,Karachi,"Rs 10,000 a month",PostedPosted 11 days ago
70,https://pk.indeed.com/company/NBOT/jobs/Assistant-Accountant-ba4c1ab55dcf303b?fccid=397db2fb03ee9377&vjs=3,Assistant Accountant,AR Flour Mill Port Qasim,Karachi,"Rs 35,000 a month",PostedPosted 14 days ago
71,https://pk.indeed.com/company/MicroMerger-(Pvt.)-Ltd/jobs/Research-Analyst-c854134420dfb4f4?fccid=2f3a20a11b8438fa&vjs=3,Research Analyst - Karachinew,MicroMerger (Pvt.) Ltd,Karachi,"Rs 105,000 a month",EmployerActive 2 days ago
72,https://pk.indeed.com/company/Search-Group-of-Companies/jobs/Data-Entry-6c6f993db8e1fe4a?fccid=28936c74ed94d694&vjs=3,Data Entry (Night Shift),Search Group of Companies,Karachi,"Rs 15,000 - Rs 20,000 a month",EmployerActive 1 day ago
73,https://pk.indeed.com/rc/clk?cmp=PAS-ACCOUNTANTS-%2F-Restaurant-One-Solution-(ROS)&ti=Accountant&jk=87aca3b7cb144616&fccid=e4c81ac2aa1ac16c&vjs=3,Accountant,PAS ACCOUNTANTS,Karachi,"Rs 40,000 - Rs 50,000 a month",EmployerActive 6 days ago
74,https://pk.indeed.com/company/Liberty-Books-Pvt-Ltd/jobs/Computer-Operator-89218884102f80e7?fccid=a76bc10fb34ae421&vjs=3,Computer Operator,Liberty Books Pvt Ltd,Karachi,"Rs 18,000 a month",EmployerActive 1 day ago
75,https://pk.indeed.com/company/Qitmeer-Traders/jobs/Data-Entry-Officer-62679c436d58ad01?fccid=c81f6c10658c1da4&vjs=3,Data Entry Officer (Female),Qitmeer Traders,Karachi,"Rs 25,000 - Rs 30,000 a month",PostedPosted 24 days ago
76,https://pk.indeed.com/company/AUA-SOLUTIONS/jobs/Phone-Verification-Officer-ad65e7cda80c5edc?fccid=bad220a08e03b070&vjs=3,Phone Verification Officers,AUA Solutions,Karachi,"Rs 22,000 - Rs 37,000 a month",EmployerActive 3 days ago
77,https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/Billing-Excel-Specialist-d6c01431ca50916f?fccid=e2fe2b8d82d9ec39&vjs=3,Billing & Excel Specialist,Appedology PVT Ltd.,Karachi,"Rs 40,000 - Rs 45,000 a month",EmployerActive 1 day ago
78,https://pk.indeed.com/company/Quantum-Computing-Services/jobs/Finance-Account-Officer-31619d643b2573ab?fccid=b11de907c5fb7a34&vjs=3,Finance & Accounts Officer,Quantum Computing Services,Karachi,"Rs 40,000 - Rs 60,000 a month",EmployerActive 2 days ago
79,https://pk.indeed.com/company/Qureshi-Group/jobs/Salon-Manager-1c35fe07db5f7b82?fccid=c4b5739829fa46aa&vjs=3,Salon Manager,Qureshi Group,Karachi,"Rs 40,000 - Rs 55,000 a month",EmployerActive 4 days ago
80,https://pk.indeed.com/company/DRM-Outsource-Solutions-Pvt.-Ltd./jobs/Billing-Specialist-d0b0a468f3bd88ad?fccid=79b05d0266c57d97&vjs=3,Billing Specialist -Night Shiftnew,DRM Outsource Solutions Pvt. Ltd.,Karachi,"Rs 35,000 - Rs 40,000 a month",Hiring ongoing
81,https://pk.indeed.com/company/Kareerwiz/jobs/Customer-Service-Officer-b833eb992a4a186e?fccid=62e4be8e22b12fd3&vjs=3,Customer Services Officer,Kareerwiz,Karachi,N/A,EmployerActive 4 days ago
82,https://pk.indeed.com/company/Itribe-Solutions/jobs/Web-Research-Analyst-Data-Entry-Operator-f033dd804549e521?fccid=6d358e7d84a610a1&vjs=3,Web Research Analyst & Data Entry Operator (Morning),Itribe Solutions,Karachi,"Rs 18,500 - Rs 20,000 a month",EmployerActive 5 days ago
83,https://pk.indeed.com/company/Pakistan-Industrial-Films-(Pvt.)-Ltd./jobs/Account-Executive-1f6770158efdb649?fccid=392de962560c6203&vjs=3,Accounts Executive,Pakistan Industrial Films (Pvt.) Ltd.,Karachi,"Rs 35,000 a month",PostedPosted 30+ days ago
84,https://pk.indeed.com/company/Dawat-e-Islami/jobs/Human-Resource-Officer-ca7e08bc6fc6944c?fccid=3c08eaf3780e7ddd&vjs=3,HR Officer,Dawat e Islami,Karachi,"Rs 25,000 a month",EmployerActive 4 days ago
85,https://pk.indeed.com/company/AtoZ-Solutions/jobs/Data-Entry-Online-Marketing-b37abbbbc4e5c244?fccid=d663f21d0469b5dd&vjs=3,Data Entry & Online Marketing,AtoZ Solutions,Karachi,"Rs 15,000 a month",PostedPosted 27 days ago
86,https://pk.indeed.com/company/Digital-Bizkart/jobs/Internship-697e5e8089273481?fccid=b72b1b99a902e2e5&vjs=3,Internship - Data Entry,Career Consultants Inc.,Karachi,"Rs 12,000 a month",PostedPosted 27 days ago
87,https://pk.indeed.com/company/MARS-Healthcare-Network/jobs/Workflow-Executive-32401f6cbbc85220?fccid=1ef8430dafd7acdf&vjs=3,Workflow Executive,MARS Healthcare Network,Karachi,"Rs 55,000 a month",PostedPosted 18 days ago
88,https://pk.indeed.com/company/MicroMerger-(Pvt.)-Ltd/jobs/District-Liaison-Officer-06ffa027e2ea50df?fccid=2f3a20a11b8438fa&vjs=3,District Liaison Officer - Karachinew,MicroMerger (Pvt.) Ltd,Karachi,"Rs 55,000 a month",PostedPosted 4 days ago
89,https://pk.indeed.com/company/Human-Resource-Solution-(Pvt.)-Ltd./jobs/Hotel-Manager-f5f6833b97646e5a?fccid=0b6a0aacc7516166&vjs=3,Hotel Manager-Karachinew,Human Resource Solution (Pvt.) Ltd.,Karachi,"Rs 60,000 - Rs 80,000 a month",PostedPosted 2 days ago
90,https://pk.indeed.com/company/Gulf-Star-Travel-&-Tourism/jobs/Inside-Sales-Representative-Male-Female-cd0c51c0e5c39e3d?fccid=fa1084c446b93257&vjs=3,INSIDE SALES REPRESENTATIVE MALE & FEMALEnew,Gulf Star Travel & Tourism,Karachi,N/A,EmployerActive 2 days ago
91,https://pk.indeed.com/company/Itribe-Solutions/jobs/Web-Research-Analyst-Data-Entry-Operator-f033dd804549e521?fccid=6d358e7d84a610a1&vjs=3,Web Research Analyst & Data Entry Operator (Morning),Itribe Solutions,Karachi,"Rs 18,500 - Rs 20,000 a month",EmployerActive 5 days ago
92,https://pk.indeed.com/company/Summon-electronics/jobs/Accounting-Personnel-Core-Quickbook-Zoho-Book-Knowledge-fa2d9ee687a60c04?fccid=a2a554d97a50fc94&vjs=3,Accounting Personnel with Core QuickBooks and Zoho Books Knowledge (Remote),Summon Electronics Inc,Karachi,"Rs 70,000 a month",EmployerActive 1 day ago
93,https://pk.indeed.com/company/Digital-Bizkart/jobs/Internship-697e5e8089273481?fccid=b72b1b99a902e2e5&vjs=3,Internship - Data Entry,Career Consultants Inc.,Karachi,"Rs 12,000 a month",PostedPosted 27 days ago
94,https://pk.indeed.com/company/Marie-Stopes-Society-Pakisatn/jobs/Paramedic-8ac1f5e79351abe2?fccid=a1d550a2902651ef&vjs=3,Paramedic / LHV / Midwife,Marie Stopes Society Pakisatn,Karachi,"Rs 30,000 - Rs 40,000 a month",EmployerActive 8 days ago
